age,sex,education,marriage,assets,missed_payment,credit_utilize,default
28,male,college,married,house,no,0.191,no
31,female,postgraduate,married,car_house,no,0.196,no
48,female,college,married,house,yes,1,yes
35,male,high_school,married,car,yes,1,yes
30,female,high_school,unmarried,car,no,0.374,yes
23,female,high_school,unmarried,house,yes,0.97,yes
21,male,postgraduate,married,car,no,0.153,no
30,male,high_school,unmarried,none,yes,0.472,yes
30,male,high_school,unmarried,car_house,no,0.26,no
34,female,college,married,none,yes,0.337,yes
30,female,college,unmarried,car,yes,0.339,yes
50,male,postgraduate,married,car_house,yes,0.36,yes
39,male,high_school,unmarried,none,no,0.263,yes
26,male,college,married,house,no,0.125,no
31,male,college,unmarried,none,yes,0.333,no
48,male,high_school,married,car,no,0.505,yes
25,male,college,married,car_house,no,0.147,no
43,male,high_school,unmarried,car,yes,0.568,yes
38,female,postgraduate,unmarried,car_house,no,0.163,no
27,male,college,unmarried,car_house,no,0.255,no
38,female,college,married,car_house,no,0.145,no
31,female,college,unmarried,car,no,0.442,yes
27,female,college,married,car_house,no,0.14,no
31,male,college,unmarried,none,yes,1,yes
44,female,postgraduate,married,house,no,0.262,no
27,male,high_school,married,car_house,no,0.204,no
22,female,college,unmarried,none,no,0.437,yes
45,male,college,married,house,no,0.133,no
36,male,postgraduate,married,none,yes,1,yes
53,male,college,unmarried,none,yes,0.512,yes
38,female,postgraduate,married,house,no,0.21,no
47,male,college,unmarried,none,yes,0.986,yes
29,female,postgraduate,married,none,no,0.446,yes
24,male,college,married,none,yes,0.338,no
32,female,college,unmarried,car,yes,0.517,yes
25,male,high_school,unmarried,none,yes,0.488,yes
39,male,college,married,none,yes,1,yes
38,male,college,married,car,no,0.284,yes
48,female,postgraduate,married,car_house,no,0.198,no
30,male,postgraduate,married,none,yes,0.335,no
48,female,college,married,car_house,no,0.204,no
57,female,high_school,married,none,yes,0.459,yes
60,male,high_school,unmarried,none,yes,0.294,yes
27,male,postgraduate,married,none,no,0.255,no
30,female,college,unmarried,house,yes,0.264,no
50,male,college,married,none,no,0.332,no
23,female,college,married,house,no,0.177,no
27,male,high_school,unmarried,car_house,yes,1,yes
28,male,high_school,unmarried,car,no,0.36,yes
32,male,postgraduate,unmarried,house,no,0.148,no
33,female,college,unmarried,house,no,0.524,yes
25,female,college,married,car_house,no,0.258,no
32,female,high_school,unmarried,none,no,0.351,yes
40,male,college,unmarried,none,no,0.202,no
27,male,postgraduate,married,house,yes,0.153,no
31,male,college,unmarried,none,yes,0.483,yes
37,female,college,married,none,yes,0.586,yes
22,male,high_school,unmarried,car,yes,0.977,yes
24,female,postgraduate,married,house,no,0.166,no
24,male,high_school,unmarried,none,yes,0.485,yes
51,male,college,married,car,yes,0.33,no
26,male,postgraduate,married,house,no,0.153,no
47,female,high_school,unmarried,car,no,0.463,yes
57,male,high_school,unmarried,car,yes,0.372,yes
25,male,college,unmarried,none,yes,0.505,yes
33,female,high_school,married,car,yes,0.41,yes
41,male,high_school,married,none,no,0.245,no
46,female,high_school,married,none,yes,0.485,yes
26,female,college,married,car_house,no,0.25,no
27,male,high_school,unmarried,none,yes,0.495,yes
37,female,high_school,unmarried,none,yes,0.323,yes
27,male,postgraduate,unmarried,house,no,0.161,no
29,female,high_school,unmarried,none,yes,0.503,yes
54,male,college,unmarried,none,no,0.515,yes
51,male,college,unmarried,none,no,0.481,yes
23,female,postgraduate,married,car,no,0.428,yes
31,female,high_school,married,car,yes,0.504,yes
35,male,college,married,car,no,0.249,no
39,female,college,unmarried,car,yes,0.522,yes
28,female,college,married,none,yes,0.318,yes
26,female,postgraduate,married,house,no,0.333,no
29,female,high_school,unmarried,car,yes,0.541,yes
32,male,postgraduate,unmarried,house,no,0.165,no
24,female,postgraduate,unmarried,house,no,0.333,no
26,female,college,unmarried,house,no,0.154,no
38,male,college,unmarried,none,no,0.374,yes
53,male,postgraduate,married,car_house,no,0.132,no
24,male,postgraduate,unmarried,car,yes,0.954,yes
51,male,high_school,married,none,no,0.312,yes
44,male,high_school,unmarried,none,yes,0.33,yes
30,male,college,unmarried,car,no,0.299,yes
35,male,postgraduate,unmarried,car_house,no,0.238,no
42,female,college,unmarried,car,yes,1,yes
49,male,college,unmarried,none,no,0.527,yes
25,female,high_school,unmarried,none,yes,1,yes
32,female,college,married,none,no,0.154,no
27,female,postgraduate,unmarried,car_house,yes,0.156,no
29,female,college,married,house,no,0.154,no
26,female,postgraduate,married,car_house,yes,0.149,no
46,male,college,unmarried,none,yes,0.433,yes
22,female,college,married,none,yes,0.325,yes
52,female,high_school,married,car,yes,1,yes
60,female,high_school,unmarried,car,yes,0.443,yes
36,male,postgraduate,unmarried,car_house,no,0.206,no
49,female,high_school,unmarried,car,yes,0.509,yes
30,male,postgraduate,married,car_house,no,0.161,no
24,male,college,unmarried,none,yes,0.931,yes
56,female,high_school,unmarried,car,yes,0.342,yes
24,female,college,unmarried,car,yes,0.333,yes
32,male,high_school,unmarried,car,yes,0.35,yes
45,male,high_school,married,none,yes,1,yes
38,female,college,unmarried,none,yes,1,yes
30,female,postgraduate,married,house,no,0.336,no
40,female,college,unmarried,car,yes,0.986,yes
24,female,postgraduate,married,none,no,0.147,no
37,female,college,unmarried,none,yes,0.324,yes
25,female,high_school,unmarried,car,yes,0.563,yes
27,female,postgraduate,unmarried,house,no,0.214,no
41,female,high_school,married,none,yes,0.329,yes
36,female,postgraduate,married,house,yes,0.248,no
61,female,postgraduate,married,house,no,0.159,no
27,female,college,unmarried,car_house,yes,0.521,yes
35,female,high_school,unmarried,none,yes,1,yes
43,female,high_school,unmarried,car,yes,0.297,yes
47,female,college,married,car_house,no,0.171,no
